CustID,WarehouseID,UnitID,DateIn,DateOut
2,OR-1,4,04/01/16,
2,OR-1,5,04/01/16,
4,WY-1,3,15/02/16,
6,WA-1,5,01/01/16,
7,WY-1,6,15/01/16,
7,WY-1,11,15/01/16,
9,WA-1,10,15/02/16,
10,OR-1,6,01/02/16,
10,OR-1,7,01/02/16,
10,OR-1,8,15/02/16,
11,WY-1,2,15/01/16,
12,WA-1,2,15/02/16,
12,WA-1,6,01/02/16,
13,WY-1,4,01/02/16,
13,WY-1,5,01/02/16,
14,WA-1,4,15/02/16,
15,WA-1,3,20/02/16,
17,WY-1,9,01/02/16,
18,WA-1,7,01/02/16,
20,WA-1,6,15/01/16,
26,OR-1,2,01/02/16,
27,WA-1,8,01/02/16,
31,WY-1,8,20/02/16,
32,WA-1,9,05/01/16,
36,OR-1,10,15/02/16,
38,WY-1,10,15/01/16,
